	TokenFSS
1036	1892550000000000000000
1037	1932000000000000000000
1038	1928450000000000000000
1039	1925000000000000000000
1040	1925205000000000000000
1041	1953300000000000000000
1042	1950114700000000000000
1043	1929999900000000000000
1044	1930039200000000000000
1045	1936735000000000000000
1046	1931990000000000000000
1047	1919549900000000000000
1048	1931399400000000000000
1049	1933000000000000000000
1050	1932560000000000000000
1051	1932761000000000000000
1052	1936129200000000000000
1053	1944027999999999800000
1054	1939899900000000000000
1055	1955000000000000000000
1056	1942241500000000000000
1057	1937360400000000000000
1058	1938061100000000000000
1059	1936000000000000000000
1060	1935000000000000000000
1061	1940000000000000000000
1062	1934900000000000000000
1063	1919620000000000000000
1064	1900000200000000000000
1065	1907622900000000000000
1066	1912999900000000000000
1067	1915138500000000000000
1068	1916270000000000000000
1069	1917980700000000000000
1070	1911140000000000000000
1071	1901972800000000000000
1072	1904200000000000000000
1073	1909993300000000000000
1074	1910747999999999800000
1075	1903655000000000000000
1076	1902680700000000000000
1077	1897500400000000000000
1078	1898822200000000000000
1079	1895000000000000000000
1080	1909158500000000000000
1081	1908671600000000000000
1082	1952269300000000000000
1083	1955100800000000000000
1084	1987199800000000000000
1085	2020101000000000000000
1086	2017500000000000000000
1087	2073143200000000000000
1088	2077156300000000000000
1089	2048000000000000000000
1090	2070000200000000000000
1091	2055000000000000000000
1092	2078912000000000300000
1093	2075000000000000000000
1094	2104990000000000000000
1095	2156800000000000000000
1096	2134999900000000000000
1097	2127900100000000000000
1098	2155021300000000000000
1099	2120600000000000000000
1100	2130000000000000000000
1101	2165245000000000000000
1102	2192260700000000000000
1103	2245000000000000000000
1104	2245804800000000000000
1105	2208688700000000000000
1106	2211000000000000000000
1107	2169710000000000000000
1108	2207480000000000000000
1109	2166150100000000000000
1110	2188200100000000000000
1111	2223500000000000000000
1112	2212502400000000000000
1113	2214899900000000000000
1114	2223590000000000000000
1115	2203000100000000000000
1116	2220196800000000000000
1117	2247989100000000000000
1118	2256999800000000000000
1119	2259422500000000000000
1120	2251600700000000000000
1121	2277000000000000000000
1122	2335500000000000000000
1123	2299000000000000000000
1124	2316000000000000000000
1125	2275005000000000000000
1126	2260000000000000000000
1127	2225110700000000000000
1128	2253578600000000000000
1129	2284049000000000000000
1130	2245452900000000000000
1131	2263999700000000000000
1132	2285000000000000000000
1133	2255002200000000000000
1134	2246905900000000000000
1135	2255000000000000000000
1136	2275000000000000000000
1137	2307000000000000000000
1138	2322899700000000000000
1139	2333937000000000000000
1140	2331500000000000000000
1141	2321999800000000000000
1142	2319890000000000000000
1143	2304800100000000000000
1144	2289000000000000000000
1145	2309997000000000300000
1146	2296319700000000000000
1147	2299289700000000000000
1148	2304000000000000000000
1149	2314500000000000000000
1150	2295825900000000000000
1151	2306817700000000000000
1152	2322100000000000000000
1153	2324098600000000000000
1154	2337316600000000000000
1155	2330120000000000000000
1156	2344708900000000000000
1157	2340000000000000000000
1158	2353300000000000000000
1159	2367197600000000000000
1160	2405999300000000000000
1161	2405500000000000000000
1162	2439986800000000000000
1163	2409900000000000000000
1164	2443700000000000000000
1165	2483050000000000000000
1166	2469610000000000000000
1167	2459800000000000000000
1168	2463847400000000000000
1169	2505157500000000000000
1170	2565000000000000000000
1171	2574999900000000000000
1172	2524999700000000000000
1173	2545000100000000000000
1174	2575000000000000000000
1175	2665000000000000000000
